Player,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Patricio Garino,5,0,43,0,7,0,5,0,2,0,0,1,6,7,0,0,0,3,4,0
Marc Gasol,74,74,2531,532,1160,104,268,428,892,278,332,60,402,462,338,67,99,166,171,1446
Pau Gasol,64,39,1627,303,604,56,104,247,500,130,184,107,394,501,150,24,70,81,110,792
Rudy Gay,30,30,1013,201,442,42,113,159,329,118,138,35,155,190,82,44,26,74,79,562
Michael Gbinije,9,0,32,1,10,0,4,1,6,2,2,2,1,3,2,0,0,0,2,4
Alonzo Gee,13,0,89,3,14,0,3,3,11,5,9,4,11,15,6,5,1,4,14,11
Paul George,75,75,2689,622,1349,195,496,427,853,336,374,58,434,492,251,117,27,218,206,1775
Marcus Georges-Hunt,5,0,48,2,7,1,2,1,5,9,10,1,8,9,3,1,0,2,5,14
Jonathan Gibson,17,0,231,35,95,15,45,20,50,21,29,1,21,22,26,8,0,21,21,106
Manu Ginobili,69,0,1291,171,439,89,227,82,212,86,107,28,129,157,183,82,16,96,119,517
Rudy Gobert,81,81,2744,413,624,0,1,413,623,311,476,314,721,1035,97,49,214,148,246,1137
Archie Goodwin,30,0,428,72,132,10,30,62,102,66,84,14,42,56,48,8,10,28,16,220
Aaron Gordon,80,72,2298,393,865,77,267,316,598,156,217,116,289,405,150,64,40,89,172,1019
Eric Gordon,75,15,2323,412,1016,246,661,166,355,147,175,29,172,201,188,48,40,121,150,1217
Marcin Gortat,82,82,2556,390,674,0,2,390,672,103,159,238,611,849,121,40,65,118,213,883
Treveon Graham,27,1,189,19,40,9,15,10,25,10,15,5,17,22,6,6,1,3,18,57
Jerian Grant,63,28,1028,128,301,49,134,79,167,65,73,17,94,111,120,47,8,44,93,370
Danny Green,68,68,1807,176,449,118,311,58,138,27,32,31,193,224,124,71,58,76,120,497
Draymond Green,76,76,2471,272,650,81,263,191,387,151,213,98,501,599,533,154,106,184,217,776
Gerald Green,47,0,538,95,232,39,111,56,121,33,41,17,68,85,33,9,7,25,48,262
